filename,misspelt_word,candidates
IMG_8598_cropped_cleaned_ocr.txt,sabiliser,stabiliser
IMG_8598_cropped_cleaned_ocr.txt,wholemilk,
IMG_8598_cropped_cleaned_ocr.txt,soyaaa,"toyama,sonata,soya,soya's"
IMG_8598_cropped_cleaned_ocr.txt,andpeanuts,
IMG_8599_cropped_cleaned_ocr.txt,rehydrated,"rehydrate,dehydrated"
IMG_8599_cropped_cleaned_ocr.txt,uk,"bk,um,yuk,us,ok,usk,gk,ut,uh,ukr,auk,up,ur,k,mk,u"
IMG_8599_cropped_cleaned_ocr.txt,flavouring,"flavourings,flavoring"
IMG_8601_cropped_cleaned_ocr.txt,craberry,cranberry
IMG_8601_cropped_cleaned_ocr.txt,extractniacinironiolavinthiaminitmin,
IMG_8601_cropped_cleaned_ocr.txt,freezedriedfruits,
IMG_8601_cropped_cleaned_ocr.txt,barleylouraltaat,
IMG_8602_cropped_cleaned_ocr.txt,vitaminb,"vitamin,vitamins"
IMG_8602_cropped_cleaned_ocr.txt,potassiumchloride,
IMG_8602_cropped_cleaned_ocr.txt,maltodextrinfat,
IMG_8602_cropped_cleaned_ocr.txt,folicacid,
IMG_8602_cropped_cleaned_ocr.txt,flavouring,"flavourings,flavoring"
IMG_8603_cropped_cleaned_ocr.txt,vitaminb,"vitamin,vitamins"
IMG_8603_cropped_cleaned_ocr.txt,naturalflavouringsniacinantioxidants,
IMG_8603_cropped_cleaned_ocr.txt,oligofructose,
IMG_8603_cropped_cleaned_ocr.txt,ascorbyl,ascorbic
IMG_8606_cropped_cleaned_ocr.txt,skimmedmilkpowdersaltsuasu,
IMG_8606_cropped_cleaned_ocr.txt,wheatflour,
IMG_8606_cropped_cleaned_ocr.txt,ironthiaminrapeseedoi,
IMG_8606_cropped_cleaned_ocr.txt,calium,"cilium,valium,calcium"
IMG_8607_cropped_cleaned_ocr.txt,sodlum,sodium
IMG_8607_cropped_cleaned_ocr.txt,coagulans,"coagulant,coagulants"
