filename,misspelt_word,candidates
IMG_8603_cropped_cleaned_ocr.txt,naturalflavouringsniacinantioxidants,
IMG_8606_cropped_cleaned_ocr.txt,ironthiaminrapeseedoi,
IMG_8606_cropped_cleaned_ocr.txt,calium,"calcium,valium,cilium"
IMG_8606_cropped_cleaned_ocr.txt,skimmedmilkpowdersaltsuasu,
IMG_8606_cropped_cleaned_ocr.txt,fibre,"fiber,fabre,fire"
IMG_8606_cropped_cleaned_ocr.txt,wheatflour,
IMG_8607_cropped_cleaned_ocr.txt,folic,"colic,folie,eolic,folio,frolic,folia"
IMG_8607_cropped_cleaned_ocr.txt,stabiliser,stabilizer
IMG_8607_cropped_cleaned_ocr.txt,sodlum,sodium
IMG_8607_cropped_cleaned_ocr.txt,coagulans,"coagulants,coagulant"
IMG_8607_cropped_cleaned_ocr.txt,xanthan,xanthin
IMG_8607_cropped_cleaned_ocr.txt,sucralose,"sucrase,surculose,sucrose"
IMG_8608_cropped_cleaned_ocr.txt,wholewheatflour,
IMG_8608_cropped_cleaned_ocr.txt,maiz,"maid,maize,mainz,maia,maim,main,mai,mail"
IMG_8608_cropped_cleaned_ocr.txt,buckwheacarawayseedemulsiier,
IMG_8608_cropped_cleaned_ocr.txt,soyal,"soya,loyal,royal"
IMG_8608_cropped_cleaned_ocr.txt,ascorbicacid,
IMG_8608_cropped_cleaned_ocr.txt,flourtreatment,
IMG_8608_cropped_cleaned_ocr.txt,yeastame,
IMG_8608_cropped_cleaned_ocr.txt,wheatglutensaltoats,
IMG_8610_cropped_cleaned_ocr.txt,acidityregulator,
IMG_8610_cropped_cleaned_ocr.txt,fructosesyrup,
IMG_8610_cropped_cleaned_ocr.txt,curcumin,"curcuma,curculio"
IMG_8610_cropped_cleaned_ocr.txt,potassiumsorbate,
IMG_8610_cropped_cleaned_ocr.txt,allergyadviceforallergens,
IMG_8610_cropped_cleaned_ocr.txt,stabiliser,stabilizer
IMG_8610_cropped_cleaned_ocr.txt,mustardbran,
IMG_8610_cropped_cleaned_ocr.txt,powderflavouring,
IMG_8610_cropped_cleaned_ocr.txt,mustardflour,
IMG_8610_cropped_cleaned_ocr.txt,turmericpowder,
