image,char_edit,char_edit_norm,char_ratio,char_ratio_norm,cer,cac,word_edit,word_ratio,wer,wac
IMG_8587,208,168,0.5274261603375527,0.600451467268623,0.56,0.43999999999999995,37,0.29032258064516125,0.8043478260869565,0.19565217391304346
IMG_8588,56,17,0.8245243128964059,0.9515418502202643,0.07296137339055794,0.927038626609442,15,0.5964912280701755,0.46875,0.53125
IMG_8589,333,304,0.3837638376383764,0.40625,0.7450980392156863,0.2549019607843137,54,0.0,1.0,0.0
IMG_8590,443,387,0.0,0.0,1.0,0.0,55,0.0,1.0,0.0
IMG_8591,300,267,0.2959641255605381,0.3405275779376499,0.7899408284023669,0.2100591715976331,40,0.21818181818181814,0.8888888888888888,0.11111111111111116
IMG_8593,161,137,0.44217687074829937,0.49446494464944646,0.6715686274509803,0.32843137254901966,25,0.0625,0.9615384615384616,0.038461538461538436
IMG_8594,106,94,0.5023255813953489,0.5346534653465347,0.6351351351351351,0.3648648648648649,21,0.0,1.0,0.0
IMG_8595,154,133,0.31896551724137934,0.3601895734597157,0.7823529411764706,0.21764705882352942,24,0.0,1.0,0.0
IMG_8596,16,0,0.7961165048543689,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8597,11,0,0.8392857142857143,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8598,90,43,0.7909604519774012,0.9123505976095617,0.15808823529411764,0.8419117647058824,25,0.5074626865671642,0.5952380952380952,0.40476190476190477
IMG_8599,41,3,0.8333333333333334,0.9841269841269842,0.015873015873015872,0.9841269841269842,3,0.8846153846153846,0.11538461538461539,0.8846153846153846
IMG_8601,83,33,0.7692307692307692,0.9124668435013262,0.16097560975609757,0.8390243902439024,16,0.5957446808510638,0.5333333333333333,0.4666666666666667
IMG_8602,75,39,0.7480519480519481,0.8919667590027701,0.23353293413173654,0.7664670658682635,10,0.7450980392156863,0.38461538461538464,0.6153846153846154
IMG_8603,66,7,0.8241758241758241,0.9824561403508771,0.02702702702702703,0.972972972972973,6,0.8823529411764706,0.16666666666666666,0.8333333333333334
IMG_8604,13,0,0.8301886792452831,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8605,29,0,0.8428571428571429,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8606,32,16,0.832579185520362,0.9230769230769231,0.14285714285714285,0.8571428571428572,14,0.3076923076923077,0.7777777777777778,0.2222222222222222
IMG_8607,132,99,0.5721649484536082,0.6866485013623977,0.4669811320754717,0.5330188679245282,14,0.679245283018868,0.4666666666666667,0.5333333333333333
