image,char_edit,char_edit_norm,char_ratio,char_ratio_norm,cer,cac,word_edit,word_ratio,wer,wac
IMG_8614,115,97,0.6162790697674418,0.6729559748427674,0.5300546448087432,0.4699453551912568,28,0.0,1.0,0.0
IMG_9077,45,29,0.902542372881356,0.9315068493150684,0.1380952380952381,0.861904761904762,8,0.7796610169491526,0.25806451612903225,0.7419354838709677
IMG_9078,28,6,0.9684684684684685,0.9920212765957447,0.0158311345646438,0.9841688654353562,12,0.8269230769230769,0.21818181818181817,0.7818181818181819
IMG_9079,343,282,0.41166380789022294,0.4534883720930233,0.706766917293233,0.29323308270676696,56,0.02941176470588236,0.9824561403508771,0.01754385964912286
IMG_9080,5,2,0.9857549857549858,0.9936708860759493,0.012578616352201259,0.9874213836477987,2,0.9130434782608696,0.08695652173913043,0.9130434782608696
IMG_9081,82,59,0.8707692307692307,0.8985024958402662,0.17933130699088146,0.8206686930091185,15,0.7692307692307692,0.3,0.7
IMG_9082,17,4,0.9795479009687836,0.9940968122786304,0.009433962264150943,0.9905660377358491,3,0.95,0.05,0.95
IMG_9083,9,3,0.9649805447470817,0.9875518672199171,0.02459016393442623,0.9754098360655737,6,0.7428571428571429,0.3157894736842105,0.6842105263157895
IMG_9084,306,254,0.4535714285714286,0.49603174603174605,0.6701846965699209,0.32981530343007914,52,0.0,1.0,0.0
IMG_9086,7,2,0.9866666666666667,0.9938900203665988,0.008130081300813009,0.991869918699187,3,0.927536231884058,0.08571428571428572,0.9142857142857143
IMG_9087,15,6,0.9572192513368984,0.9805013927576601,0.03296703296703297,0.967032967032967,8,0.7317073170731707,0.34782608695652173,0.6521739130434783
IMG_9088,9,0,0.9762532981530343,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9089,138,102,0.7083333333333333,0.7614678899082569,0.3805970149253731,0.6194029850746269,38,0.10909090909090913,0.926829268292683,0.07317073170731703
IMG_9091,52,30,0.856353591160221,0.906832298136646,0.17045454545454544,0.8295454545454546,18,0.3783783783783784,0.72,0.28
IMG_9093,48,28,0.8867924528301887,0.9278350515463918,0.1346153846153846,0.8653846153846154,23,0.3111111111111111,0.7666666666666667,0.23333333333333328
IMG_9094,2,0,0.9705882352941176,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9096,13,0,0.9757009345794393,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9099,495,421,0.44193912063134155,0.4783147459727385,0.6856677524429967,0.3143322475570033,86,0.0,1.0,0.0
IMG_9140,3,0,0.9702970297029703,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9141,121,76,0.8851540616246498,0.922,0.14152700186219738,0.8584729981378026,61,0.2429906542056075,0.8243243243243243,0.17567567567567566
IMG_9147,24,4,0.9136690647482014,0.9824561403508771,0.034482758620689655,0.9655172413793104,7,0.6666666666666667,0.4117647058823529,0.5882352941176471
IMG_9148,8,1,0.9823008849557522,0.9976133651551312,0.004761904761904762,0.9952380952380953,2,0.9491525423728814,0.06666666666666667,0.9333333333333333
IMG_9151,8,3,0.9560439560439561,0.9826589595375722,0.03409090909090909,0.9659090909090909,2,0.8571428571428572,0.18181818181818182,0.8181818181818181
IMG_9155,10,3,0.9456521739130435,0.9828571428571429,0.033707865168539325,0.9662921348314607,3,0.782608695652174,0.25,0.75
IMG_9156,2,0,0.9642857142857143,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9163,5,1,0.965034965034965,0.9925925925925926,0.014705882352941176,0.9852941176470589,1,0.8888888888888888,0.1111111111111111,0.8888888888888888
IMG_9164,178,155,0.26337448559670784,0.29864253393665163,0.824468085106383,0.17553191489361697,23,0.0714285714285714,0.9583333333333334,0.04166666666666663
